Group Title,Notation,Parent
"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",1,
CORPORATE MANAGERS AND DIRECTORS,11,1
Chief Executives and Senior Officials,111,11
Chief executives and senior officials,1111,111
Chairperson,1111/01,1111
Chief executives,1111/02,1111
Diplomats and foreign office officials,1111/03,1111
Senior public service officials,1111/04,1111
Chief executives and senior officials n.e.c.,1111/99,1111
Elected officers and representatives,1112,111
Assembly members and Members of Parliament,1112/01,1112
Councillors,1112/02,1112
Elected officers and representatives n.e.c.,1112/99,1112
Production Managers and Directors,112,11
Production managers and directors in manufacturing,1121,112
Production managers and directors in manufacturing,1121/00,1121
Production managers and directors in construction,1122,112
Production managers and directors in construction,1122/00,1122
Production managers and directors in mining and energy,1123,112
Managers and directors in alternative energy production (non-nuclear),1123/01,1123
Managers and directors in nuclear energy production,1123/02,1123
Managers and directors in renewable energy production,1123/03,1123
Managers and directors in the extraction of fossil fuels,1123/04,1123
Managers and directors in the production of energy from fossil fuels,1123/05,1123
Production managers and directors in mining and energy n.e.c.,1123/99,1123
Functional Managers and Directors,113,11
Financial managers and directors,1131,113
"Bank, building society and post office managers",1131/01,1131
"Company secretaries, treasurers, and company registrars",1131/02,1131
Finance managers,1131/03,1131
Investment bankers,1131/04,1131
Financial managers and directors n.e.c.,1131/99,1131
"Marketing, sales, and advertising directors",1132,113
Advertising directors,1132/01,1132
Marketing directors,1132/02,1132
Sales directors,1132/03,1132
"Marketing, sales, and advertising directors n.e.c.",1132/99,1132
Public relations and communications directors,1133,113
Communications managers,1133/01,1133
Public relations managers,1133/02,1133
Purchasing managers and directors,1134,113
Commissioning managers and directors,1134/01,1134
Estimating managers and directors,1134/02,1134
Procurement and purchasing managers and directors,1134/03,1134
Supply chain managers and directors,1134/04,1134
Purchasing managers and directors n.e.c.,1134/99,1134
Charitable organisation managers and directors,1135,113
Charitable organisation managers and directors,1135/00,1135
Human resource managers and directors,1136,113
Diversity and equality managers,1136/01,1136
Employee relations managers,1136/02,1136
Learning and development managers,1136/03,1136
Recruitment managers,1136/04,1136
Human resources managers and directors n.e.c.,1136/99,1136
Information technology directors,1137,113
Information security managers,1137/01,1137
Operations managers,1137/02,1137
Programme managers,1137/03,1137
Technical directors,1137/04,1137
Information technology directors n.e.c.,1137/99,1137
Functional managers and directors n.e.c.,1139,113
Accounts managers and directors,1139/01,1139
Administration managers and directors,1139/02,1139
Communications and policy managers,1139/03,1139
Complaints and customer service directors,1139/04,1139
Event directors,1139/05,1139
Intellectual property managers and directors,1139/06,1139
Municipal clerks,1139/07,1139
Research and development managers and directors,1139/08,1139
Functional managers and directors n.e.c.,1139/99,1139
"Directors in Logistics, Warehousing, and Transport",114,11
"Directors in logistics, warehousing, and transport",1140,114
"Directors in logistics, warehousing, and transport",1140/00,1140
Managers and Directors in Retail and Wholesale,115,11
Managers and directors in retail and wholesale,1150,115
Managers and directors in retail and wholesale,1150/00,1150
Senior Officers in Protective Services,116,11
Officers in armed forces,1161,116
Army officers,1161/01,1161
Royal Air Force officers,1161/02,1161
Royal Marines officers,1161/03,1161
Royal Navy officers,1161/04,1161
Officers in armed forces n.e.c.,1161/99,1161
Senior police officers,1162,116
"Chief, deputy chief and assistant chief constables (detective)",1162/01,1162
"Chief, deputy chief and assistant constables (non detective)",1162/02,1162
Chief inspectors (detective),1162/03,1162
Chief inspector (non detective),1162/04,1162
Chief superintendent (detective),1162/05,1162
Chief superintendent,1162/06,1162
Inspectors (detective),1162/07,1162
Inspectors (non detective),1162/08,1162
Superintendents (detective),1162/09,1162
Superintendents (non detective),1162/10,1162
Senior police officers n.e.c.,1162/99,1162
"Senior officers in fire, ambulance, prison, and related services",1163,116
Senior officers in ambulance services,1163/01,1163
Senior officers in fire services,1163/02,1163
Senior officers in immigration services,1163/03,1163
Senior officers in prison services,1163/04,1163
Senior officers in revenue and customs,1163/05,1163
Health and Social Services Managers and Directors,117,11
Health services and public health managers and directors,1171,117
Clinical managers,1171/01,1171
"Directors of nursing, midwifery and allied heath professionals",1171/02,1171
Hospital managers,1171/03,1171
Public health managers,1171/04,1171
Health services and public health managers and directors n.e.c.,1171/99,1171
Social services managers and directors,1172,117
Social services managers and directors,1172/00,1172
OTHER MANAGERS AND PROPRIETORS,12,1
Managers and Proprietors in Agriculture Related Services,121,12
Managers and proprietors in agriculture and horticulture,1211,121
Managers and proprietors in agriculture and horticulture,1211/00,1211
"Managers and proprietors in forestry, fishing, and related services",1212,121
Cattery and kennel owners,1212/01,1212
Fisheries managers,1212/02,1212
Forestry managers,1212/03,1212
Livery yard and stud farm managers,1212/04,1212
Racehorse trainers,1212/05,1212
"Managers and proprietors in forestry, fishing, and related services n.e.c.",1212/99,1212
Managers and Proprietors in Hospitality and Leisure Services,122,12
Hotel and accommodation managers and proprietors,1221,122
Hotel and accommodation managers and proprietors,1221/00,1221
Restaurant and catering establishment managers and proprietors,1222,122
Café & restaurant managers,1222/01,1222
Catering managers,1222/02,1222
Takeaway managers,1222/03,1222
Restaurant and catering establishment managers and proprietors n.e.c.,1222/99,1222
Publicans and managers of licensed premises,1223,122
Publicans and managers of licensed premises,1223/00,1223
Leisure and sports managers,1224,122
Cinema managers,1224/01,1224
Golf course managers,1224/02,1224
"Gym, fitness, and leisure services managers",1224/03,1224
Marina managers,1224/04,1224
Museum managers,1224/05,1224
Parks and gardens managers,1224/06,1224
Theatre managers,1224/07,1224
Leisure and sports managers n.e.c.,1224/99,1224
Travel agency managers and proprietors,1225,122
Travel agency managers and proprietors,1225/00,1225
Managers and Proprietors in Health and Care Services,123,12
Health care practice managers,1231,123
Managers of dental practices,1231/01,1231
Managers of medical practices,1231/02,1231
Managers of opticians,1231/03,1231
Managers of veterinary surgeries,1231/04,1231
Health care practice managers n.e.c.,1231/99,1231
"Residential, day and domiciliary care managers and proprietors",1232,123
Day care managers,1232/01,1232
Domiciliary care managers,1232/02,1232
Residential care managers,1232/03,1232
"Residential, day and domiciliary care managers and proprietors n.e.c.",1232/99,1232
Early education and childcare services proprietors,1233,123
Early education and childcare services proprietors,1233/00,1233
"Managers in Logistics, Warehousing and Transport",124,12
Managers in transport and distribution,1241,124
Airport managers,1241/01,1241
Dispatch and distribution managers,1241/02,1241
Fleet managers,1241/03,1241
Station managers,1241/04,1241
Traffic managers,1241/05,1241
Managers in transport and distribution n.e.c.,1241/99,1241
Managers in storage and warehousing,1242,124
Managers in storage and warehousing,1242/00,1242
Managers in logistics,1243,124
Logistics managers,1243/01,1243
